# MSID bad times 
#
# All * values before 2012:001 come from list assembled by A. Arvai.
#
# MSID     start_bad_time   stop_bad_time
aogbias1 2008:292:00:00:00 2008:297:00:00:00
aogbias1 2008:227:00:00:00 2008:228:00:00:00
aogbias1 2009:253:00:00:00 2009:254:00:00:00
aogbias2 2008:292:00:00:00 2008:297:00:00:00
aogbias2 2008:227:00:00:00 2008:228:00:00:00
aogbias2 2009:253:00:00:00 2009:254:00:00:00
aogbias3 2008:292:00:00:00 2008:297:00:00:00
aogbias3 2008:227:00:00:00 2008:228:00:00:00
aogbias3 2009:253:00:00:00 2009:254:00:00:00
aosares1 2000:049:01:09:00 2000:049:02:33:55
aosares1 2008:292:21:23:29 2008:292:21:23:34
aosares1 2010:150:03:36:27 2010:150:03:36:36
aosares1 2011:190:19:42:00 2011:190:20:05:00
* 2000:048:00:00:00.000 2000:050:00:00:00.000
* 2000:070:23:00:00.000 2000:071:13:00:00.000
* 2001:110:00:00:00.000 2001:113:00:00:00.000
* 2002:031:16:09:58.434 2002:031:16:20:19.959
* 2002:219:02:12:33.194 2002:219:02:22:51.644
* 2002:229:16:49:34.857 2002:229:16:59:39.982
* 2002:250:15:30:00.000 2002:250:17:00:00.000
* 2003:200:00:00:00.000 2003:201:00:00:00.000
* 2003:211:01:19:00.287 2003:211:01:29:09.512
* 2003:219:00:13:37.167 2003:219:00:24:12.017
* 2003:221:16:00:00.000 2003:221:17:00:00.000
* 2004:018:08:34:20.529 2004:018:08:44:46.154
* 2004:034:05:51:58.039 2004:034:06:02:18.539
* 2004:203:00:50:41.357 2004:203:01:01:27.482
* 2004:315:00:00:00.000 2004:317:00:00:00.000
* 2005:305:12:00:00.000 2005:305:13:00:00.000
* 2006:199:07:25:17.155 2006:199:07:36:22.755
* 2007:011:21:08:51.203 2007:011:21:19:05.553
* 2007:077:14:18:39.114 2007:077:15:02:46.139
* 2007:175:10:41:12.351 2007:175:10:51:14.401
* 2007:193:23:30:34.028 2007:193:23:40:37.103
* 2007:355:14:30:00.000 2007:355:15:30:00.000
* 2008:003:20:10:30.456 2008:003:20:22:11.931
* 2008:003:20:12:15.006 2008:003:20:22:17.056
* 2008:037:22:00:00.000 2008:037:23:30:00.000
* 2008:037:22:24:30.474 2008:037:22:37:37.024
* 2008:164:19:46:43.357 2008:164:19:57:05.907
* 2008:208:21:06:16.138 2008:208:21:47:20.713
* 2008:212:04:40:51.340 2008:212:05:21:23.115
* 2008:214:21:10:40.491 2008:214:21:51:18.416
* 2008:217:11:01:33.043 2008:217:11:41:36.118
* 2008:220:20:33:52.544 2008:220:21:14:40.719
* 2008:222:18:01:48.645 2008:222:18:41:55.820
* 2008:225:00:00:00.000 2008:229:00:00:00.000
* 2008:227:22:11:33.723 2008:227:22:51:59.348
* 2008:233:05:08:56.101 2008:233:05:50:36.551
* 2008:235:23:12:45.827 2008:235:23:53:03.252
* 2008:237:17:19:47.928 2008:237:18:00:13.553
* 2008:238:14:53:13.753 2008:238:15:33:17.853
* 2008:243:15:28:05.356 2008:243:16:08:09.456
* 2008:243:15:29:14.031 2008:243:16:09:31.456
* 2008:292:00:00:00.000 2008:296:00:00:00.000
* 2008:301:22:11:08.999 2008:301:22:21:13.099
* 2008:301:22:11:14.124 2008:301:22:21:15.149
* 2008:360:19:00:10.475 2008:360:19:10:55.575
* 2009:330:13:09:27.198 2009:330:13:20:13.323
* 2009:349:02:01:09.304 2009:349:02:12:17.979
* 2010:044:16:05:30.073 2010:044:16:48:10.998
* 2010:149:00:00:00.000 2010:153:00:00:00.000
* 2011:153:01:20:24.336 2011:153:02:04:46.736
* 2011:182:05:00:00.000 2011:182:06:00:00.000
* 2011:187:12:00:00.000 2011:192:04:00:00.000
* 2011:187:12:23:44.974 2011:187:12:34:04.097
* 2011:264:04:55:53.942 2011:264:05:38:17.442
* 2011:299:00:00:00.000 2011:300:12:00:00.000
* 2012:150:03:33:29.000 2012:152:01:55:00.000
