level instrum   hdu_name        content        pipe    type    hduclass        hduclas1     
L1.5 ACIS       EVENTS          TGEVT1          TG1.5   evt     OGIP            EVENTS       
L1.5 HRC        EVENTS          TGEVT1          TG1.5   evt     OGIP            EVENTS       
L1.5 ACIS       SRCLIST         TGSRC           TG1.5   tgsrc   OGIP            SRCLIST      
L1.5 HRC        SRCLIST         TGSRC           TG1.5   tgsrc   OGIP            SRCLIST      
L0.5 PCAD       ASPLOOK         OBIGTI_ASP      OBIDET  egti    ASC             GTI          
L0.5 CCDM       OBI_OBSID       OBIGTI_ENG      OBIDET  egti    ASC             GTI          
L0.5 SIM        SIMLOOK         OBIGTI_SIM      OBIDET  egti    ASC             GTI          
L0.5 HRC        HRCLOOK         OBIGTI_HRC      OBIDET  egti    ASC             GTI          
L0.5 ACIS       ACISLOOK        OBIGTI_ACIS     OBIDET  egti    ASC             GTI          
L0.5 AXAF       OBIGTI          OBIGTI          OBIDET  egti    ASC             GTI          
L0.5 AXAF       LIMITS          OBILIMITS       OBIDET  olims   ASC             LIMITS       
L1   Angles     ANGLES          OANGLEEPHEM     EPHEM1  eph     ASC             TEMPORALDATA 
L0   Orbit      ORBITEPHEM      ORBITEPHEM0     EPHEM0  eph     OGIP            TEMPORALDATA 
L0   Solar      SOLAREPHEM      SOLAREPHEM0     EPHEM0  eph     OGIP            TEMPORALDATA 
L0   Lunar      LUNAREPHEM      LUNAREPHEM0     EPHEM0  eph     OGIP            TEMPORALDATA 
L0   ACIS       EVENTS          EVT0            ACIS0   evt     OGIP            EVENTS       
L0   HRC        EVENTS          EVT0            HRC0    evt     OGIP            EVENTS       
L0.5 HRC        EVENTS          EVT0_5          HRC0.5  evt     OGIP            EVENTS       
L0   AXAF       TLM_GAP         TLM_GAP         TP      tgap    ASC             TEMPORALDATA 
L0   HRC        HSKPNG          HRCHK           HRC0    hkp     ASC             TEMPORALDATA 
L0   HRC        SSCIENCE        HRCSS           HRC0    ss      OGIP            LIGHTCURVE   
L0.5 HRC        SSCIENCE        HRCSS0_5        HRC0.5  ss      OGIP            LIGHTCURVE   
L0   ACIS       EXR             EXR             ACIS0   exr     ASC             TEMPORALDATA 
L0   ACIS       IMAGE           IMG0            ACIS0   img     OGIP            IMAGE        
L0   ACIS       WIN             WIN             ACIS0   win     ASC             CONFIG       
L0   ACIS       SRR             SRR             ACIS0   srr     ASC             CONFIG       
L0   ACIS       SRPSUM          SRPSUM          ACIS0   srp     ASC             CONFIG       
L0   ACIS       BERR            BERR            ACIS0   berr    ASC             TEMPORALDATA 
L0   ACIS       HISTOGR         HISTOGR         ACIS0   hist    ASC             ARRAY        
L0   ACIS       DEAHKP          ACISDEAHK       ACIS0   hkp     ASC             TEMPORALDATA 
L0   ACIS       SWHKP           ACISSWHK        ACIS0   swhkp   ASC             TEMPORALDATA 
L0   ACIS       SYS             ACISSYS         ACIS0   sys     ASC             CONFIG       
L0   ACIS       MEMDUMP         ACISMEM         ACIS0   mem     ASC             CONFIG       
L0.5 ACIS       EVENTS          EVT0_5          ACIS0.5 evt     OGIP            EVENTS       
L0.5 ACIS       EXR             EXR0_5          ACIS0.5 exr     ASC             TEMPORALDATA 
L1   ACIS       SUMMARY         ACIS_SUMMARY    ACIS1   sum     ASC             CONFIG       
L0   EPHIN      EPHHIST1        EPHHIST         EPHIN0  hist    ASC             TEMPORALDATA 
L0   EPHIN      EPHHKDTC        EPHHK           EPHIN0  hkp     OGIP            TEMPORALDATA 
L0   EPHIN      EPHEIO          EPHEIO          EPHIN0  eio     OGIP            TEMPORALDATA 
L0   EPHIN      EPHPHA          EPHPHA          EPHIN0  ppha    ASC             TEMPORALDATA 
L1   EPHIN      EPHHKDTC_CLN    EPHHK_CLN       EPHIN1  hkp     OGIP            TEMPORALDATA 
L1   EPHIN      EPHRATES        EPHRATES        EPHIN1  lc      OGIP            TEMPORALDATA 
L0   SIM        AXAF_SIM        SIM             SIM0    tlm     OGIP            TEMPORALDATA 
L0   SIM        AXAF_SIMDIAG    SIMDIAG         SIM0    diag    OGIP            TEMPORALDATA 
L0   SIM        AXAF_SIMMEM     SIMMEM          SIM0    mem     OGIP            TEMPORALDATA 
L0.5 SIM        AXAF_SIM        SIM_MRG         SIM0.5  tlm     OGIP            TEMPORALDATA 
L0.5 SIM        AXAF_SIMCOOR    SIMCOOR         SIM0.5  coor    ASC             TEMPORALDATA 
L0   PCAD       ACADATA         ACAIMG          ACAC    adat    ASC             TEMPORALDATA 
L0   PCAD       MEMDUMP         ACAMEM          ACAI    mem     ASC             CONFIG       
L0   PCAD       ACADUMP         ACADUMP         ACAC    cal     OGIP            TEMPORALDATA 
L0.5 PCAD       AIPROPS         AIPROPS         ASP0.5  aipr    ASC             CHAR         
L1   PCAD       GSPROPS         GSPROPS         ASP1    gspr    ASC             CHAR         
L1   PCAD       FIDPROPS        FIDPROPS        ASP1    fidpr   ASC             CHAR         
L1   PCAD       ACADATA         ACADATA         ASP1    adat    ASC             TEMPORALDATA 
L1   PCAD       GYRODATA        GYRODATA        ASP1    gdat    ASC             TEMPORALDATA 
L1   PCAD       ACACAL          ACACAL          ASP1    acal    ASC             CORRECTION   
L1   PCAD       GYROCAL         GYROCAL         ASP1    gcal    ASC             CORRECTION   
L1   PCAD       KALMAN          KALMAN          ASP1    kalm    ASC             TEMPORALDATA 
L1   PCAD       ACACENT         ACACENT         ASP1    acen    ASC             TEMPORALDATA 
L1   PCAD       ACA_BADPIX      ACA_BADPIX      ASP1    bpix    ASC             REGION       
L1   TEL        HRMATMP         HRMATMP         TEL1    hkp     OGIP            TEMPORALDATA 
L0   ACIS       AXAF_ACIS       ACIS2ENG        ENG0    eng     OGIP            TEMPORALDATA 
L0   ACIS       AXAF_ACIS       ACIS3ENG        ENG0    eng     OGIP            TEMPORALDATA 
L0   ACIS       AXAF_ACIS       ACIS4ENG        ENG0    eng     OGIP            TEMPORALDATA 
L0   CCDM       AXAF_CCDM       CCDM1ENG        ENG0    eng     OGIP            TEMPORALDATA 
L0   CCDM       AXAF_CCDM       CCDM2ENG        ENG0    eng     OGIP            TEMPORALDATA 
L0   CCDM       AXAF_CCDM       CCDM3ENG        ENG0    eng     OGIP            TEMPORALDATA 
L0   CCDM       AXAF_CCDM       CCDM4ENG        ENG0    eng     OGIP            TEMPORALDATA 
L0   CCDM       AXAF_CCDM       CCDM5ENG        ENG0    eng     OGIP            TEMPORALDATA 
L0   CCDM       AXAF_CCDM       CCDM7ENG        ENG0    eng     OGIP            TEMPORALDATA 
L0   CCDM       AXAF_CCDM       CCDM8ENG        ENG0    eng     OGIP            TEMPORALDATA 
# L0   CCDM       AXAF_CCDM       CCDM9ENG        ENG0    eng     OGIP            TEMPORALDATA 
L0   CCDM       AXAF_CCDM       CCDM10ENG       ENG0    eng     OGIP            TEMPORALDATA 
L0   CCDM       AXAF_CCDM       CCDM11ENG       ENG0    eng     OGIP            TEMPORALDATA 
L0   CCDM       AXAF_CCDM       CCDM12ENG       ENG0    eng     OGIP            TEMPORALDATA 
L0   CCDM       AXAF_CCDM       CCDM13ENG       ENG0    eng     OGIP            TEMPORALDATA 
# L0   CCDM       AXAF_CCDM       CCDM14ENG       ENG0    eng     OGIP            TEMPORALDATA 
# L0   CCDM       AXAF_CCDM       CCDM15ENG       ENG0    eng     OGIP            TEMPORALDATA 
L0   CPE        AXAF_CPE        CPE1ENG         ENG0    eng     OGIP            TEMPORALDATA 
L0   EPHIN      AXAF_EPHIN      EPHIN1ENG       ENG0    eng     OGIP            TEMPORALDATA 
L0   EPHIN      AXAF_EPHIN      EPHIN2ENG       ENG0    eng     OGIP            TEMPORALDATA 
L0   EPS        AXAF_EPS        EPS1ENG         ENG0    eng     OGIP            TEMPORALDATA 
L0   EPS        AXAF_EPS        EPS2ENG         ENG0    eng     OGIP            TEMPORALDATA 
L0   EPS        AXAF_EPS        EPS3ENG         ENG0    eng     OGIP            TEMPORALDATA 
L0   EPS        AXAF_EPS        EPS4ENG         ENG0    eng     OGIP            TEMPORALDATA 
L0   EPS        AXAF_EPS        EPS5ENG         ENG0    eng     OGIP            TEMPORALDATA 
L0   EPS        AXAF_EPS        EPS6ENG         ENG0    eng     OGIP            TEMPORALDATA 
L0   EPS        AXAF_EPS        EPS7ENG         ENG0    eng     OGIP            TEMPORALDATA 
L0   EPS        AXAF_EPS        EPS9ENG         ENG0    eng     OGIP            TEMPORALDATA 
L0   EPS        AXAF_EPS        EPS10ENG        ENG0    eng     OGIP            TEMPORALDATA 
L0   HRC        AXAF_HRC        HRC2ENG         ENG0    eng     OGIP            TEMPORALDATA 
# L0   HRC        AXAF_HRC        HRC3ENG         ENG0    eng     OGIP            TEMPORALDATA 
L0   HRC        AXAF_HRC        HRC4ENG         ENG0    eng     OGIP            TEMPORALDATA 
L0   HRC        AXAF_HRC        HRC5ENG         ENG0    eng     OGIP            TEMPORALDATA 
# L0   HRC        AXAF_HRC        HRC6ENG         ENG0    eng     OGIP            TEMPORALDATA 
L0   HRC        AXAF_HRC        HRC7ENG         ENG0    eng     OGIP            TEMPORALDATA 
L0   MISC       AXAF_MISC       MISC1ENG        ENG0    eng     OGIP            TEMPORALDATA 
L0   MISC       AXAF_MISC       MISC2ENG        ENG0    eng     OGIP            TEMPORALDATA 
L0   MISC       AXAF_MISC       MISC3ENG        ENG0    eng     OGIP            TEMPORALDATA 
L0   MISC       AXAF_MISC       MISC4ENG        ENG0    eng     OGIP            TEMPORALDATA 
L0   MISC       AXAF_MISC       MISC5ENG        ENG0    eng     OGIP            TEMPORALDATA 
L0   MISC       AXAF_MISC       MISC6ENG        ENG0    eng     OGIP            TEMPORALDATA 
L0   MISC       AXAF_MISC       MISC7ENG        ENG0    eng     OGIP            TEMPORALDATA 
L0   MISC       AXAF_MISC       MISC8ENG        ENG0    eng     OGIP            TEMPORALDATA 
# L0 OBC        AXAF_OBC        OBC1ENG         ENG0    eng     OGIP            TEMPORALDATA 
# L0 OBC        AXAF_OBC        OBC2ENG         ENG0    eng     OGIP            TEMPORALDATA 
L0   OBC        AXAF_OBC        OBC3ENG         ENG0    eng     OGIP            TEMPORALDATA 
L0   OBC        AXAF_OBC        OBC4ENG         ENG0    eng     OGIP            TEMPORALDATA 
L0   OBC        AXAF_OBC        OBC5ENG         ENG0    eng     OGIP            TEMPORALDATA 
L0   OBC        AXAF_OBC        OBC6ENG         ENG0    eng     OGIP            TEMPORALDATA 
L0   PCAD       AXAF_PCAD       PCAD3ENG        ENG0    eng     OGIP            TEMPORALDATA 
L0   PCAD       AXAF_PCAD       PCAD4ENG        ENG0    eng     OGIP            TEMPORALDATA 
L0   PCAD       AXAF_PCAD       PCAD5ENG        ENG0    eng     OGIP            TEMPORALDATA 
L0   PCAD       AXAF_PCAD       PCAD6ENG        ENG0    eng     OGIP            TEMPORALDATA 
L0   PCAD       AXAF_PCAD       PCAD7ENG        ENG0    eng     OGIP            TEMPORALDATA 
L0   PCAD       AXAF_PCAD       PCAD8ENG        ENG0    eng     OGIP            TEMPORALDATA 
L0   PCAD       AXAF_PCAD       PCAD9ENG        ENG0    eng     OGIP            TEMPORALDATA 
L0   PCAD       AXAF_PCAD       PCAD10ENG       ENG0    eng     OGIP            TEMPORALDATA 
L0   PCAD       AXAF_PCAD       PCAD11ENG       ENG0    eng     OGIP            TEMPORALDATA 
L0   PCAD       AXAF_PCAD       PCAD12ENG       ENG0    eng     OGIP            TEMPORALDATA 
L0   PCAD       AXAF_PCAD       PCAD13ENG       ENG0    eng     OGIP            TEMPORALDATA 
L0   PCAD       AXAF_PCAD       PCAD14ENG       ENG0    eng     OGIP            TEMPORALDATA 
L0   PCAD       AXAF_PCAD       PCAD15ENG       ENG0    eng     OGIP            TEMPORALDATA 
# L0   PCAD       AXAF_PCAD       PCAD16ENG       ENG0    eng     OGIP            TEMPORALDATA 
# L0   PCAD       AXAF_PCAD       PCAD17ENG       ENG0    eng     OGIP            TEMPORALDATA 
L0   PROP       AXAF_PROP       PROP1ENG        ENG0    eng     OGIP            TEMPORALDATA 
L0   PROP       AXAF_PROP       PROP2ENG        ENG0    eng     OGIP            TEMPORALDATA 
L0   SIM        AXAF_SIM        SIM1ENG         ENG0    eng     OGIP            TEMPORALDATA 
L0   SIM        AXAF_SIM        SIM2ENG         ENG0    eng     OGIP            TEMPORALDATA 
L0   SIM        AXAF_SIM        SIM3ENG         ENG0    eng     OGIP            TEMPORALDATA 
L0   SIM        AXAF_SIM        SIM21ENG        ENG0    eng     OGIP            TEMPORALDATA 
L0   SMS        AXAF_SMS        SMS1ENG         ENG0    eng     OGIP            TEMPORALDATA 
L0   SMS        AXAF_SMS        SMS2ENG         ENG0    eng     OGIP            TEMPORALDATA 
L0   TEL        AXAF_TEL        TEL1ENG         ENG0    eng     OGIP            TEMPORALDATA 
L0   TEL        AXAF_TEL        TEL2ENG         ENG0    eng     OGIP            TEMPORALDATA 
L0   TEL        AXAF_TEL        TEL3ENG         ENG0    eng     OGIP            TEMPORALDATA 
L0   TEL        AXAF_TEL        TEL4ENG         ENG0    eng     OGIP            TEMPORALDATA 
L0   THM        AXAF_THM        THM1ENG         ENG0    eng     OGIP            TEMPORALDATA 
L0   THM        AXAF_THM        THM2ENG         ENG0    eng     OGIP            TEMPORALDATA 
L0   THM        AXAF_THM        THM3ENG         ENG0    eng     OGIP            TEMPORALDATA 
